episode,trained_reward,untrained_reward,delta
0,-465.2816555428869,-496.43638040298174,31.15472486009486
1,-465.06782683997926,-498.175593909381,33.107767069401746
2,-496.79719947394506,-495.5274811061068,-1.2697183678382657
3,-463.4357991197242,-495.14549429876826,31.709695179044047
4,-464.924421992653,-494.9841198734257,30.059697880772717
5,-464.51783114574795,-494.18741252538445,29.669581379636497
6,-462.43536722606143,-492.561837022282,30.12646979622059
7,-494.80442846619246,-493.9051886308804,-0.8992398353120734
8,-463.07095542297134,-496.07402628708945,33.003070864118115
9,-465.72913133228934,-496.2367847472597,30.507653414970378
