episode,total_reward,final_health,r2_bonus,avg_r1,avg_r3,avg_r4,sum_r1,sum_r3,sum_r4
0,-479.5175170204708,0.22620979819173145,0.0,-13.534352832988546,-7.5,-2.941523018034995,-270.6870566597709,-150.0,-58.830460360699895
1,-488.93496983130467,0.25702110536140443,0.0,-14.088880259831555,-7.5,-2.857868231733674,-281.7776051966311,-150.0,-57.15736463467348
2,-481.87291376781764,0.23021614268253976,0.0,-13.874948466694685,-7.5,-2.718697221696194,-277.4989693338937,-150.0,-54.37394443392388
3,-478.80193419900723,0.22474169109654948,0.0,-13.499071108297269,-7.5,-2.941025601653094,-269.9814221659454,-150.0,-58.820512033061874
4,-489.3688152348033,0.25657708956810626,0.0,-14.107167410260132,-7.5,-2.8612733514800337,-282.14334820520264,-150.0,-57.22546702960067
5,-481.9985122583506,0.2350952350484389,0.0,-13.83775748203091,-7.5,-2.762168130886619,-276.7551496406182,-150.0,-55.24336261773238
6,-479.7276325563685,0.25426533935393536,0.0,-13.742551302116714,-7.5,-2.7438303257017145,-274.8510260423343,-150.0,-54.876606514034286
7,-491.9186894643334,0.25872543798492154,0.0,-14.474174604540854,-7.5,-2.6217598686758135,-289.4834920908171,-150.0,-52.43519737351627
8,-480.44330571388537,0.2549892215286345,0.0,-13.767504686026697,-7.5,-2.7546605996675724,-275.35009372053395,-150.0,-55.093211993351446
9,-481.03219523937844,0.25286822599001674,0.0,-13.821330617980218,-7.5,-2.730279143988705,-276.42661235960435,-150.0,-54.6055828797741
